"Abbrev","Stat Name","Description","Unit","Pctile Dir","Available In"
"POSS%","% Time in Possession","Of all time where either team has possession (so excluding time when neither team has possession), what percentage belongs to this team.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"%MP Leading","Pct of Minutes Leading","Share of total minutes the team led.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"%MP Lead 1-9","Pct of Mins Leading by 1-9","Share of total minutes the team led by 1-9 points.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"%MP Lead 10-19","Pct of Mins Leading by 10-19","Share of total minutes the team led by 10-19 points.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"%MP Lead 20+","Pct of Mins Leading by 20+","Share of total minutes the team led by 20 or more points.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"%MP Tied","Pct of Mins Tied","Share of total minutes the team was tied with the opponent.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"%MP Trailing","Pct of Minutes Trailing","Share of total minutes the team trailed.","Percentage","Lowest % = 100th","Team Agg PBP, Team Game PBP"
"%MP Trail 1-9","Pct of Mins Trailing by 1-9","Share of total minutes the team trailed by 1-9 points.","Percentage","Lowest % = 100th","Team Agg PBP, Team Game PBP"
"%MP Trail 10-19","Pct of Mins Trailing by 10-19","Share of total minutes the team trailed by 10-19 points.","Percentage","Lowest % = 100th","Team Agg PBP, Team Game PBP"
"%MP Trail 20+","Pct of Mins Trailing by 20+","Share of total minutes the team trailed by 20 or more points.","Percentage","Lowest % = 100th","Team Agg PBP, Team Game PBP"
"DUNK FGA%","% of Shots as Dunks","The percentage of shots taken that were dunk attempts.","Percentage","Highest % = 100th","Team Agg PBP, Player Agg PBP, Team Game PBP"
"LAYUP FGA%","% of Shots as Layups","Percentage of the players shots taken as layups.","Percentage","Highest % = 100th","Team Agg PBP, Player Agg PBP, Team Game PBP"
"LAY+DUNK FGA%","% of Shots as Layups + Dunks","Percentage of the players shots taken as layups and dunks.","Percentage","Highest % = 100th","Team Agg PBP, Player Agg PBP, Team Game PBP"
"% Shots Center","% of Shots from Center of Court","Percentage of shots taken from the center of the court. This includes all shots where the shooter is positioned within 1 foot in either direction of the imaginary centerline of the court connecting the two rims.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"% Shots Left","% of Shots from Left Side of Court","Percentage of shots taken from the left side of the court. This includes all shots where the shooter is positioned more than 1 foot to the left of the court's imaginary centerline.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"% Shots Right","% of Shots from Right Side of Court","Percentage of shots taken from the right side of the court. This includes all shots where the shooter is positioned more than 1 foot to the right of the court's imaginary centerline.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"%TM AST","% of Team Assists","The percentage of a team's assists that a player is responsible for (player AST / team total AST).","Percentage","Highest % = 100th","Player Game PBP, Player Agg PBP"
"%TM FGA","% of Team FGAs","The percentage of a team's field goal attempts that a player is responsible for (player FGA / team total FGA).","Percentage","Highest % = 100th","Player Agg PBP"
"%TM FTA","% of Team Free Throws","The percentage of a team's free throw attempts that a player is responsible for (player FTA / team total FTA).","Percentage","Highest % = 100th","Player Agg PBP"
"%TM TOV","% of Team Turnovers","The percentage of a team's turnovers that a player is responsible for (player TOV / team total TOV).","Percentage","Lowest % = 100th","Player Agg PBP"
"%POTOV","Points off Turnovers % of Total Points","The percentage of all points scored by the player that were points off turnovers.","Percentage","Highest % = 100th","Team Game, Team Agg"
"%2PTS","% of Total Points from 2-Pointers","The percentage of points scored by the player that were scored on two-point field goals.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game"
"%3PTS","% of Total Points from 3-Pointers","The percentage of points scored by the player that were scored on three-point field goals.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game"
"%FTPTS","% of Total Points from Free Throws","The percentage of points scored by the player that were scored on free throws.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game"
"%PITP","Points in the Paint % of Total Points","The percentage of all points scored by the player that were points in the paint.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game"
"%SCP","2nd Chance Points % of Total Points","The percentage of all points scored by the player that were second chance points.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game"
"%FBP","Fast Break Points % of Total Points","The percentage of all points scored by the player that were fast break points.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game"
"TOV 10 SECS","10 Second Violation","The total number of turnovers tagged by the scorer as a 10 second violation by the team.","Integer","Lowest # = 100th","Team Agg PBP, Team Game PBP"
"STRK 10+","10-0 Scoring Streaks","The total number of scoring streaks of 10+ consecutive points scored by the team.","Integer","Highest # = 100th","Team Agg PBP"
"AGST 10+","10-0 Scoring Streaks Allowed","The total number of scoring streaks allowed of 10+ consecutive points allowed by the team.","Integer","Lowest # = 100th","Team Agg PBP"
"STRK 12+","12-0 Scoring Streaks","The total number of scoring streaks of 12+ consecutive points scored by the team.","Integer","Highest # = 100th","Team Agg PBP"
"AGST 12+","12-0 Scoring Streaks Allowed","The total number of scoring streaks allowed of 12+ consecutive points allowed by the team.","Integer","Lowest # = 100th","Team Agg PBP"
"Poss 1st FGA/100","First FGA of Possession / 100 Poss","Team's first-shot field goal attempts per 100 possessions (shots taken before any offensive rebound on the possession).","Number","Highest # = 100th","Team Agg PBP"
"Poss 1st FGA/40","First FGA of Possession / 40 Mins","Team's first-shot field goal attempts per 40 minutes (shots taken before any offensive rebound on the possession).","Number","Highest # = 100th","Team Agg PBP"
"Poss 1st FGA/G","First FGA of Possession / Game","Team's first-shot field goal attempts per game (shots taken before any offensive rebound on the possession).","Number","Highest # = 100th","Team Agg PBP"
"Poss 1st FGA","First FGA of Possession","Team's count of field goal attempts that were the first shot of a possession (no offensive rebound preceded the attempt).","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"2PM","2 Point Field Goals Made","The total number of 2-point field goals made.","Integer","Highest # = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"2PA","2-Point Field Goal Attempts","The total number of 2-point field goal attempts.","Integer","Highest # = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"2P%","2-Point Percentage","Percentage of the player's 2-point field goal attempts that were made.","Percentage","Highest % = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"20 Pt / 10 Ast","Games with 20+ Points and 10+ Assists","Number of games where the player recorded 20+ points and 10+ assists.","Integer","Highest # = 100th","Player Agg"
"20 Pt / 10 Reb","Games with 20+ Points and 10+ Rebounds","Number of games where the player recorded 20+ points and 10+ rebounds.","Integer","Highest # = 100th","Player Agg"
"SCP PTS","2nd Chance Points","The total number of second chance points.","Integer","Highest # = 100th","Team Game, Player Agg, Team Agg, Player Game"
"Poss 2nd FGA/100","Second FGA of Possession / 100 Poss","Team's second-shot field goal attempts per 100 possessions (shots taken after one offensive rebound).","Number","Highest # = 100th","Team Agg PBP"
"Poss 2nd FGA/40","Second FGA of Possession / 40 Mins","Team's second-shot field goal attempts per 40 minutes (shots taken after one offensive rebound).","Number","Highest # = 100th","Team Agg PBP"
"Poss 2nd FGA/G","Second FGA of Possession / Game","Team's second-shot field goal attempts per game (shots taken after one offensive rebound).","Number","Highest # = 100th","Team Agg PBP"
"Poss 2nd FGA","Second FGA of Possession","Team's count of field goal attempts that were the second shot of a possession (taken after one offensive rebound).","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"FT% 2-1","Free Throw % Change, 2nd vs 1st Attempt","Difference between second-FT percentage and first-FT percentage (FT2% minus FT1%). Positive values mean the shooter improved on the second attempt; negative means they got worse.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP"
"SCP DIFF","2nd Chance Points Differential","How many more or fewer second chance points the team scored compared to their opponent.","Integer","Highest # = 100th","Team Game, Team Agg"
"SCP PTS/100","2nd Chance Points / 100 Poss","An estimate of the number of second chance points per 100 possessions played.","Number","Highest # = 100th","Team Agg"
"SCP PTS/40","2nd Chance Points / 40 Mins","The number of second chance points per 40 minutes played.","Number","Highest # = 100th","Player Agg, Team Agg"
"SCP PTS/G","2nd Chance Points / Game","The number of second chance points per game.","Number","Highest # = 100th","Player Agg, Team Agg"
"FGM2 ASTD%","2P Assisted Pct","The percentage of 2P shots made that were assisted.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"AST2","2P Assists","The total number of assists where the shooter scored on a 2-point shot.","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"AST2/40","2P Assists / 40 Mins","The total number of assists per 40 minutes where the shooter scored on a 2-point shot.","Number","Highest # = 100th","Player Agg PBP"
"AST2/G","2P Assists / Game","The total number of assists per game where the shooter scored on a 2-point shot.","Number","Highest # = 100th","Player Agg PBP"
"2SFLD%","2-Point Shooting Fouled Pct","The percentage of 2-point shot attempts where a foul was drawn.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2SFLD/100","2-Point Shooting Fouls Drawn / 100 Poss","The number of 2-point shooting fouls drawn per 100 possessions.","Number","Highest # = 100th","Team Agg PBP"
"2SFLD/40","2-Point Shooting Fouls Drawn / 40 Mins","The number of 2-point shooting fouls drawn per 40 minutes.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"2SFLD/G","2-Point Shooting Fouls Drawn / Game","The number of 2-point shooting fouls drawn per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"2SFLD","2-Point Shooting Fouls Drawn","The total number of 2-point shooting fouls drawn.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2P SHOT ATT","2P Shot Attempts (inc SFLs)","The number of 2-point field goal attempts plus shooting fouls drawn on missied shots. Effectively, the number of 2-point shot attempts by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2P% (0-10s)","2P% (0 - 10 on Shot Clock)","Percentage of the player's 2-point field goal attempts taken with 0 - 10 seconds remaining on the shot clock that were made.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2P% (20-30s)","2P% (10 - 20 on Shot Clock)","Percentage of the player's 2-point field goal attempts taken with 20 - 30 seconds remaining on the shot clock that were made.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2P% (10-20s)","2P% (20 - 30 on Shot Clock)","Percentage of the player's 2-point field goal attempts taken with 10 - 20 seconds remaining on the shot clock that were made.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2P% in HC","2P% in Half Court","An estimate of 2-point field goal percentage (makes / attempts) on shots in the half court, rather than in transition or on putbacks.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2P% in TR","2P% in Transition","An estimate of 2-point field goal percentage (makes / attempts) on shots in transition, rather than in the half court or on putbacks.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2PA DIFF","2P Attempt Differential","How many more or fewer 2-point field goal attempts the team took compared to their opponent.","Integer","Highest # = 100th","Team Game, Team Agg"
"2PA (0-10s)","2PAs (0-10 on Shot Clock)","The total number of 2-point field goal attempts taken with 0 - 10 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2PA (10-20s)","2PAs (10-20 on Shot Clock)","The total number of 2-point field goal attempts taken with 10 - 20 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2PA (20-30s)","2PAs (20-30 on Shot Clock)","The total number of 2-point field goal attempts taken with 20 - 30 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2PA/100","2-Point Field Goal Attempts / 100 Poss","An estimate of the number of 2-point field goal attempts per 100 possessions played.","Number","Highest # = 100th","Team Agg, Team Agg PBP, Lineup, On/Off"
"2PA/40","2-Point Field Goal Attempts / 40 Mins","The number of 2-point field goal attempts per 40 minutes played.","Number","Highest # = 100th","Player Agg, Team Agg, Team Agg PBP, Player Agg PBP, Lineup, On/Off"
"2PA/G","2-Point Field Goal Attempts / Game","The number of 2-point field goal attempts per game.","Number","Highest # = 100th","Player Agg, Team Agg, Team Agg PBP, Player Agg PBP"
"2PA in HC","2P Attempts in Half Court","An estimate of the total number of 2-point field goal attempts taken in the half court, rather than in transition or on putbacks.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2PA in TR","2P Attempts in Transition","An estimate of the total number of 2-point field goal attempts taken in transition, rather than in the half court or on putbacks.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2PM DIFF","2P Made Differential","How many more or fewer 2-point field goals made the team had compared to their opponent.","Integer","Highest # = 100th","Team Game, Team Agg"
"2PM in HC","2P Made in Half Court","An estimate of the total number of 2-point field goals made in the half court, rather than in transition or on putbacks.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2PM in TR","2P Made in Transition","An estimate of the total number of 2-point field goals made in transition, rather than in the half court or on putbacks.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2PM (0-10s)","2s Made with 0-10 Secs on Shot Clock","The total number of 2-point field goals made with 0 - 10 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2PM (10-20s)","2s Made with 10-20 Secs on Shot Clock","The total number of 2-point field goals made with 10 - 20 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"2PM (20-30s)","2s Made with 20-30 Secs on Shot Clock","The total number of 2-point field goals made with 20 - 30 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3PM","3 Point Field Goals Made","The total number of 3-point field goals made.","Integer","Highest # = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"TOV 3 SECS","3 Second Violation","The total number of turnovers tagged by the scorer as a 3 second violation by the team.","Integer","Lowest # = 100th","Team Agg PBP, Team Game PBP"
"3PAr","Three Point Attempt Rate","Percentage of the player's field goal attempts that were 3-point field goal attempts.","Percentage","Highest % = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"3PA","3-Point Field Goal Attempts","The total number of 3-point field goal attempts taken.","Integer","Highest # = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"3P%","3-Point Percentage","Percentage of the player's 3-point field goal attempts that were made.","Percentage","Highest % = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"FGM3 ASTD%","3P Assisted Pct","The percentage of 3P shots made that were assisted.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"AST3","3P Assists","The total number of assists where the shooter scored on a 3-point shot.","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"AST3/40","3P Assists / 40 Mins","The total number of assists per 40 minutes where the shooter scored on a 3-point shot.","Number","Highest # = 100th","Player Agg PBP"
"AST3/G","3P Assists / Game","The total number of assists per game where the shooter scored on a 3-point shot.","Number","Highest # = 100th","Player Agg PBP"
"3SFLD%","3-Point Shooting Fouled Pct","The percentage of 3-point shot attempts where a foul was drawn.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3SFLD/100","3-Point Shooting Fouls Drawn / 100 Poss","The number of 3-point shooting fouls drawn per 100 possessions.","Number","Highest # = 100th","Team Agg PBP"
"3SFLD/40","3-Point Shooting Fouls Drawn / 40 Mins","The number of 3-point shooting fouls drawn per 40 minutes.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"3SFLD/G","3-Point Shooting Fouls Drawn / Game","The number of 3-point shooting fouls drawn per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"3SFLD","3-Point Shooting Fouls Drawn","The total number of 3-point shooting fouls drawn.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3P SHOT ATT","3P Shot Attempts (inc SFLs)","The number of 3-point field goal attempts plus shooting fouls drawn on missied shots. Effectively, the number of 3-point shot attempts by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3P% (0-10s)","3P% (0 - 10 on Shot Clock)","Percentage of the player's 3-point field goal attempts taken with 0 - 10 seconds remaining on the shot clock that were made.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3P% (20-30s)","3P% (10 - 20 on Shot Clock)","Percentage of the player's 3-point field goal attempts taken with 20 - 30 seconds remaining on the shot clock that were made.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3P% (10-20s)","3P% (20 - 30 on Shot Clock)","Percentage of the player's 3-point field goal attempts taken with 10 - 20 seconds remaining on the shot clock that were made.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3P% in HC","3P% in Half Court","An estimate of 3-point field goal percentage (makes / attempts) on shots in the half court, rather than in transition or on putbacks.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3P% in TR","3P% in Transition","An estimate of 3-point field goal percentage (makes / attempts) on shots in transition, rather than in the half court or on putbacks.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3PA DIFF","3P Attempt Differential","How many more or fewer 3-point field goal attempts the team took compared to their opponent.","Integer","Highest # = 100th","Team Game, Team Agg"
"3PA (0-10s)","3PAs (0-10 on Shot Clock)","The total number of 3-point field goal attempts taken with 0 - 10 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3PA (10-20s)","3PAs (10-20 on Shot Clock)","The total number of 3-point field goal attempts taken with 10 - 20 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3PA (20-30s)","3PAs (20-30 on Shot Clock)","The total number of 3-point field goal attempts taken with 20 - 30 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3PA/100","3-Point Field Goal Attempts / 100 Poss","An estimate of the number of 3-point field goal attempts per 100 possessions played.","Number","Highest # = 100th","Team Agg, Team Agg PBP, Lineup, On/Off"
"3PA/40","3-Point Field Goal Attempts / 40 Mins","The number of 3-point field goal attempts per 40 minutes played.","Number","Highest # = 100th","Player Agg, Team Agg, Team Agg PBP, Player Agg PBP, Lineup, On/Off"
"3PA/G","3-Point Field Goal Attempts / Game","The number of 3-point field goal attempts per game.","Number","Highest # = 100th","Player Agg, Team Agg, Team Agg PBP, Player Agg PBP"
"3PA in HC","3P Attempts in Half Court","An estimate of the total number of 3-point field goal attempts taken in the half court, rather than in transition or on putbacks.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3PA in TR","3P Attempts in Transition","An estimate of the total number of 3-point field goal attempts taken in transition, rather than in the half court or on putbacks.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3PM DIFF","3P Made Differential","How many more or fewer 3-point field goals made the team had compared to their opponent.","Integer","Highest # = 100th","Team Game, Team Agg"
"3PM in HC","3P Made in Half Court","An estimate of the total number of 3-point field goals made in the half court, rather than in transition or on putbacks.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3PM in TR","3P Made in Transition","An estimate of the total number of 3-point field goals made in transition, rather than in the half court or on putbacks.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Poss 3rd+ FGA/100","Third+ FGA of Possession / 100 Poss","Team's third-plus shot field goal attempts per 100 possessions (shots taken after multiple offensive rebounds).","Number","Highest # = 100th","Team Agg PBP"
"Poss 3rd+ FGA/40","Third+ FGA of Possession / 40 Mins","Team's third-plus shot field goal attempts per 40 minutes (shots taken after multiple offensive rebounds).","Number","Highest # = 100th","Team Agg PBP"
"Poss 3rd+ FGA/G","Third+ FGA of Possession / Game","Team's third-plus shot field goal attempts per game (shots taken after multiple offensive rebounds).","Number","Highest # = 100th","Team Agg PBP"
"Poss 3rd+ FGA","Third+ FGA of Possession","Team's count of field goal attempts that were the third or later shot of a possession (taken after multiple offensive rebounds).","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"3PM (0-10s)","3s Made with 0-10 Secs on Shot Clock","The total number of 3-point field goals made with 0 - 10 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3PM (10-20s)","3s Made with 10-20 Secs on Shot Clock","The total number of 3-point field goals made with 10 - 20 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"3PM (20-30s)","3s Made with 20-30 Secs on Shot Clock","The total number of 3-point field goals made with 20 - 30 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"TOV 5 SECS","5 Second Violation","The total number of turnovers tagged by the scorer as a 5 second violation by the team.","Integer","Lowest # = 100th","Team Agg PBP, Team Game PBP"
"5x3 Games","Games with 3+ Pts, Rebs, Asts, Stls & Blks","Number of games where the player recorded at least 3 in every categoriy of points, rebounds, assists, steals, and blocks.","Integer","Highest # = 100th","Player Agg"
"5x4 Games","Games with 4+ Pts, Rebs, Asts, Stls & Blks","Number of games where the player recorded at least 4 in every categoriy of points, rebounds, assists, steals, and blocks.","Integer","Highest # = 100th","Player Agg"
"5x5 Games","Games with 5+ Pts, Rebs, Asts, Stls & Blks","Number of games where the player recorded at least 5 in every categoriy of points, rebounds, assists, steals, and blocks.","Integer","Highest # = 100th","Player Agg"
"STRK 8+","8-0 Scoring Streaks","The total number of scoring streaks of 8+ consecutive points scored by the team.","Integer","Highest # = 100th","Team Agg PBP"
"AGST 8+","8-0 Scoring Streaks Allowed","The total number of scoring streaks allowed of 8+ consecutive points allowed by the team.","Integer","Lowest # = 100th","Team Agg PBP"
"ATB3 ASTD%","Above Break 3s Assisted Pct","The percentage of shots made on above the break 3s that were assisted.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 AST","Above Break 3s Assists","The total number of assists where the shooter scored an above the break 3.","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"ATB3 AST/40","Above Break 3s Assists / 40 Mins","The total number of assists per 40 minutes where the shooter scored an above the break 3.","Number","Highest # = 100th","Player Game PBP, Player Agg PBP"
"ATB3 AST/G","Above Break 3s Assists / Game","The total number of assists per game where the shooter scored an above the break 3.","Number","Highest # = 100th","Player Agg PBP"
"ATB3 DRB CHNC","Above Break 3s Defensive Rebound Chances","The total number of defensive rebounds chances (defensive rebounds grabbed plus opponent offensive rebounds) on opponent's missed above the break 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATB3 DRB%","Above Break 3s Defensive Rebounding Percentage","Percentage of the opponent's missed above the break 3s that were defensive rebounded by the team.","Percentage","Highest % = 100th","Team Agg PBP, Team Game PBP"
"ATB3 DRB","Above Break 3s Defensive Rebounds","The total number of defensive rebounds grabbed on opponent's missed above the break 3s.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"ATB3 FGA (0-10s)","Above Break 3s FGAs with 0-10 Secs on Shot Clock","The total number of field goal attempts on above the break 3s taken with 0 - 10 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGA (10-20s)","Above Break 3s FGAs with 10-20 Secs on Shot Clock","The total number of field goal attempts on above the break 3s taken with 10 - 20 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"ATB3 FGA (20-30s)","Above Break 3s FGAs with 20-30 Secs on Shot Clock","The total number of field goal attempts on above the break 3s taken with 20 - 30 seconds remaining on the shot clock.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
